CUSTOMER_ID|CUSTOMER_FIRST_NAME|CUSTOMER_MIDDLE_NAME|CUSTOMER_LAST_NAME|GENDER|EMAIL_ADDRESS|PHONE_NUMBER|ADDRESS_DETAILS
1|Quentin|Brandon|Stout|0|tristique.senectus.et@dolorsit.edu|(016977) 7773|794-6546 Dis Street
2|Skyler|Dieter|Padilla|1|gravida.sagittis.Duis@loremtristique.edu|0334 001 0304|Ap #521-172 Quis, Road
3|Sacha|Heidi|Gallagher|1|diam@molestiearcuSed.org|076 8865 5613|Ap #891-4507 Dictum Road
4|Minerva|Stacy|Gray|0|elit.Aliquam.auctor@eu.org|0500 595273|780-3351 Arcu St.
5|Zeph|Noelle|Salazar|0|Cras.vehicula@non.com|(0151) 856 3455|8104 Pellentesque Avenue
6|Hop|Malik|Buchanan|1|risus.at.fringilla@idmollis.ca|(023) 6021 1906|P.O. Box 728, 4374 Pede. St.
7|Nasim|Damon|Caldwell|0|egestas.nunc@habitantmorbitristique.org|056 4168 5556|Ap #493-2343 Ornare Street
8|Gareth|Geoffrey|Ellis|1|sit@incursuset.net|0956 318 0954|Ap #393-1453 Imperdiet Avenue
9|Dylan|Alma|Russo|1|aliquet.lobortis.nisi@mauriserateget.com|07624 783211|P.O. Box 807, 8724 Etiam Street
10|Emery|Eugenia|Montgomery|1|nibh.Phasellus.nulla@actellusSuspendisse.com|0500 119161|884-6980 Eu St.
11|Baxter|Katelyn|Flowers|0|tempus@massaSuspendisseeleifend.net|070 9909 3148|8407 Eu Road
12|Amethyst|Aspen|Estes|1|tristique.pharetra@duiquisaccumsan.edu|07320 379591|P.O. Box 591, 1057 Cursus, Ave
13|Winter|Sylvester|Avila|1|at@tristique.org|0920 547 5118|Ap #105-2342 Sollicitudin St.
14|Kasimir|Nina|Yang|1|Nullam.feugiat.placerat@pedeSuspendisse.org|0500 460215|9229 Id, Av.
15|Stewart|Lillith|Wong|0|Sed@pede.edu|056 2514 7891|P.O. Box 139, 3136 Egestas St.
16|Wesley|Nehru|Berger|0|erat.volutpat.Nulla@Proin.com|(024) 8544 0172|401 Vestibulum Ave
17|Julian|Ali|Walls|0|eu.tellus@aliquetmetus.co.uk|076 5221 8955|Ap #875-9903 Nullam Street
18|Aurelia|Brenden|Kirby|1|at.libero@justositamet.net|(023) 1760 4028|3886 Mauris Av.
19|Rae|Clarke|Oneill|0|sit@commodo.co.uk|(017175) 44118|Ap #465-7516 Integer Road
20|Armand|Helen|Ashley|1|Phasellus.vitae.mauris@Suspendisse.org|0848 715 5000|6665 A Road
21|Uriel|Leslie|Contreras|1|iaculis.aliquet.diam@idante.net|070 7858 4883|Ap #742-5952 Augue, Road
22|Basil|Colin|Whitley|0|ipsum.Curabitur@dolorDonecfringilla.com|(0113) 236 1499|Ap #397-7117 Egestas. St.
23|Ryan|Leah|Lowery|1|aliquam.enim@dictumeu.org|0845 46 44|P.O. Box 499, 932 Metus. St.
24|Jessica|Hollee|Bolton|1|pede.sagittis.augue@ipsumleo.ca|0500 707990|P.O. Box 614, 8716 Sem St.
25|Callie|Kristen|Duke|0|netus.et.malesuada@faucibus.edu|(0131) 421 0674|344-9319 Enim, Avenue
26|Rowan|Zoe|Beard|0|tellus.eu.augue@Nullam.net|(0191) 944 5251|8339 Nec, Rd.
27|Kim|Ignatius|Brewer|0|posuere@augueporttitor.com|(0181) 500 2975|Ap #366-6196 Imperdiet, Avenue
28|Katelyn|Cruz|Walters|0|metus.Aliquam.erat@Aliquamnecenim.net|(01874) 498029|P.O. Box 544, 7136 Phasellus Ave
29|Keelie|Blaine|Hooper|0|enim.diam.vel@nislsem.com|0800 778881|P.O. Box 971, 1186 Facilisis Street
30|Ryder|Rose|Mccray|0|at@variusultricesmauris.com|(016977) 8682|Ap #960-811 Amet Ave
31|Tiger|Amaya|Spencer|0|lorem.auctor.quis@arcuVivamussit.ca|(0117) 207 0222|P.O. Box 118, 9537 Leo, St.
32|Willa|Ignacia|Barrett|1|nostra@necurna.edu|0800 1111|Ap #870-9233 Pellentesque, Rd.
33|Autumn|Xenos|Stone|1|Morbi.metus@Sed.co.uk|0500 570176|506-5528 Sed Av.
34|Magee|Axel|Austin|1|Sed@aliquet.net|(0115) 350 9881|Ap #530-7956 Tristique Ave
35|Leroy|Eric|Zamora|0|libero.nec.ligula@Vestibulumante.co.uk|0845 46 47|8540 Risus. Ave
36|Kameko|Jamal|Arnold|0|dolor@orci.ca|056 9440 4485|7217 Nunc Ave
37|Karina|Vera|Raymond|1|metus@urnaconvallis.ca|056 3573 0978|4351 Metus Road
